rush_adv_team1,rush_adv_team2,pass_adv_team1,pass_adv_team2,score_adv_team1,score_adv_team2,turnover_adv_team1,turnover_adv_team2,pred_rank_team1,pred_rank_team2,sos_team1,sos_team2,WinPct_team1,WinPct_team2,week,label
43.5,-208.0,-15.0,-43.5,-4.0,-17.5,-1.0,1.0,-18.8,7.0,2.2,1.9,16.7,25.0,3,0
-77.0,2.0,-29.0,-1.0,3.0,0.0,1.0,-0.5,17.9,-12.3,-0.1,-12.7,61.5,23.1,3,1
2.0,-77.0,-1.0,-29.0,0.0,3.0,-0.5,1.0,-12.3,17.9,-12.7,-0.1,23.1,61.5,3,0
-3.0,94.0,-29.5,-28.5,-11.5,9.0,-0.5,0.5,22.0,-12.4,5.0,-7.7,69.2,78.6,3,1
94.0,-3.0,-28.5,-29.5,9.0,-11.5,0.5,-0.5,-12.4,22.0,-7.7,5.0,78.6,69.2,3,0
159.5,-84.5,253.5,173.0,54.5,10.0,-1.5,-1.5,5.7,11.1,-25.5,-3.3,61.5,53.9,3,1
-84.5,159.5,173.0,253.5,10.0,54.5,-1.5,-1.5,11.1,5.7,-3.3,-25.5,53.9,61.5,3,0
-179.0,-40.0,22.0,-165.0,-15.0,5.0,-1.0,0.0,2.9,-5.7,11.1,-12.0,61.5,78.6,3,1
-40.0,-179.0,-165.0,22.0,5.0,-15.0,0.0,-1.0,-5.7,2.9,-12.0,11.1,78.6,61.5,3,0
117.5,-37.5,-6.0,197.0,9.5,24.5,-1.0,0.0,15.9,10.6,-6.1,9.7,41.7,84.6,3,1
-37.5,117.5,197.0,-6.0,24.5,9.5,0.0,-1.0,10.6,15.9,9.7,-6.1,84.6,41.7,3,0
-53.0,66.5,-222.0,-114.5,-49.0,5.5,-2.5,1.0,9.5,-12.9,1.0,-12.0,41.7,46.2,3,1
66.5,-53.0,-114.5,-222.0,5.5,-49.0,1.0,-2.5,-12.9,9.5,-12.0,1.0,46.2,41.7,3,0
