rush_adv_team1,rush_adv_team2,pass_adv_team1,pass_adv_team2,score_adv_team1,score_adv_team2,turnover_adv_team1,turnover_adv_team2,pred_rank_team1,pred_rank_team2,sos_team2,sos_team2,week,label
-38.5,-151.7,-74.80000000000001,-76.5,-6.699999999999999,-17.8,-0.2999999999999998,-0.8,-13.3,4.7,-7.5,-1.4,5,0
25.5,-110.0,-30.0,-133.5,-29.5,-14.5,-0.5,0.5,-0.9,-17.1,-2.2,-11.4,5,1
-110.0,25.5,-133.5,-30.0,-14.5,-29.5,0.5,-0.5,-17.1,-0.9,-11.4,-2.2,5,0
-5.199999999999989,-95.0,-67.80000000000001,39.30000000000001,-7.5,-2.5,-0.7,2.0,4.2,-28.6,-9.1,-7.8,5,1
-95.0,-5.199999999999989,39.30000000000001,-67.80000000000001,-2.5,-7.5,2.0,-0.7,-28.6,4.2,-7.8,-9.1,5,0
26.5,-2.5,32.0,-144.5,-18.0,-12.5,1.0,-2.0,-7.0,-23.6,-13.0,-14.6,5,1
-2.5,26.5,-144.5,32.0,-12.5,-18.0,-2.0,1.0,-23.6,-7.0,-14.6,-13.0,5,0
-91.0,-154.0,-4.0,-79.0,1.5,-9.5,-1.0,0.0,-9.5,-15.3,-13.0,-13.7,5,1
-154.0,-91.0,-79.0,-4.0,-9.5,1.5,0.0,-1.0,-15.3,-9.5,-13.7,-13.0,5,0
272.3,133.7,-27.30000000000001,-38.19999999999999,11.799999999999997,14.3,1.7,1.5,16.9,3.2,9.2,-8.7,5,1
133.7,272.3,-38.19999999999999,-27.30000000000001,14.3,11.799999999999997,1.5,1.7,3.2,16.9,-8.7,9.2,5,0
-49.5,100.5,44.69999999999999,48.19999999999999,4.299999999999997,15.8,1.5,-1.0,30.7,-17.5,14.2,-12.8,5,1
100.5,-49.5,48.19999999999999,44.69999999999999,15.8,4.299999999999997,-1.0,1.5,-17.5,30.7,-12.8,14.2,5,0
79.8,84.80000000000001,-91.19999999999999,176.0,-9.8,24.700000000000003,-1.2,0.7,-0.3,16.6,-4.5,5.0,5,1
84.80000000000001,79.8,176.0,-91.19999999999999,24.700000000000003,-9.8,0.7,-1.2,16.6,-0.3,5.0,-4.5,5,0
-129.39999999999998,-99.30000000000001,35.39999999999998,-11.300000000000011,-14.0,-22.599999999999998,0.0,1.0,-13.5,-31.5,-8.0,-22.9,5,1
-99.30000000000001,-129.39999999999998,-11.300000000000011,35.39999999999998,-22.599999999999998,-14.0,1.0,0.0,-31.5,-13.5,-22.9,-8.0,5,0
-28.0,51.0,5.5,-112.0,-3.5,-17.5,0.5,-0.5,3.6,-19.9,-7.7,-7.8,5,1
51.0,-28.0,-112.0,5.5,-17.5,-3.5,-0.5,0.5,-19.9,3.6,-7.8,-7.7,5,0
-224.5,-96.0,113.0,257.5,-23.0,-1.0,2.5,-1.0,6.5,-5.3,7.0,-9.2,5,1
-96.0,-224.5,257.5,113.0,-1.0,-23.0,-1.0,2.5,-5.3,6.5,-9.2,7.0,5,0
81.19999999999999,128.0,-99.69999999999999,-23.69999999999999,15.3,11.5,0.0,-1.7000000000000002,19.3,-13.5,7.7,-14.1,5,1
128.0,81.19999999999999,-23.69999999999999,-99.69999999999999,11.5,15.3,-1.7000000000000002,0.0,-13.5,19.3,-14.1,7.7,5,0
95.0,37.0,69.5,32.0,11.5,-2.5,0.0,2.0,0.8,1.8,-10.8,1.3,5,1
37.0,95.0,32.0,69.5,-2.5,11.5,2.0,0.0,1.8,0.8,1.3,-10.8,5,0
-46.0,4.5,-81.0,-102.0,-8.0,-18.0,0.5,0.5,2.4,-18.0,-3.7,-11.8,5,1
4.5,-46.0,-102.0,-81.0,-18.0,-8.0,0.5,0.5,-18.0,2.4,-11.8,-3.7,5,0
-82.5,-3.0,37.0,-141.0,-2.0,-28.0,-0.5,-0.5,-9.8,-18.4,-7.2,-13.6,5,1
-3.0,-82.5,-141.0,37.0,-28.0,-2.0,-0.5,-0.5,-18.4,-9.8,-13.6,-7.2,5,0
-74.0,-110.0,-85.5,-186.0,-5.0,-28.0,-1.0,-1.5,-28.0,0.5,-21.8,-7.7,5,1
-110.0,-74.0,-186.0,-85.5,-28.0,-5.0,-1.5,-1.0,0.5,-28.0,-7.7,-21.8,5,0
28.0,-22.5,-57.5,-92.5,-5.0,-13.0,0.0,4.0,3.8,-3.8,3.0,-1.4,5,1
-22.5,28.0,-92.5,-57.5,-13.0,-5.0,4.0,0.0,-3.8,3.8,-1.4,3.0,5,0
-108.0,53.5,89.0,-83.5,-10.5,-12.0,-2.0,-1.0,9.5,-4.7,0.6,-0.1,5,1
53.5,-108.0,-83.5,89.0,-12.0,-10.5,-1.0,-2.0,-4.7,9.5,-0.1,0.6,5,0
260.3,24.700000000000003,-5.199999999999989,-31.69999999999999,36.5,27.7,-3.5,-0.7,22.2,4.9,1.6,-8.6,5,1
24.700000000000003,260.3,-31.69999999999999,-5.199999999999989,27.7,36.5,-0.7,-3.5,4.9,22.2,-8.6,1.6,5,0
94.19999999999999,73.80000000000001,24.0,-63.19999999999999,19.3,3.0,-0.19999999999999996,-1.0,8.5,9.7,-0.5,3.8,5,1
73.80000000000001,94.19999999999999,-63.19999999999999,24.0,3.0,19.3,-1.0,-0.19999999999999996,9.7,8.5,3.8,-0.5,5,0
50.0,17.0,98.5,-78.5,18.5,-3.5,1.0,-0.5,8.1,21.3,-3.5,13.1,5,1
17.0,50.0,-78.5,98.5,-3.5,18.5,-0.5,1.0,21.3,8.1,13.1,-3.5,5,0
-164.5,-151.5,99.5,-92.5,-17.0,-22.5,2.0,-1.0,-4.1,-17.5,-6.4,-12.1,5,1
-151.5,-164.5,-92.5,99.5,-22.5,-17.0,-1.0,2.0,-17.5,-4.1,-12.1,-6.4,5,0
72.7,114.69999999999999,140.5,-57.19999999999999,21.799999999999997,-4.699999999999999,0.8,0.0,10.3,15.9,1.1,8.0,5,1
114.69999999999999,72.7,-57.19999999999999,140.5,-4.699999999999999,21.799999999999997,0.0,0.8,15.9,10.3,8.0,1.1,5,0
-29.19999999999999,-85.69999999999999,45.0,-98.69999999999999,-14.5,-11.7,1.3,-0.30000000000000004,21.8,-28.2,10.7,-23.2,5,1
-85.69999999999999,-29.19999999999999,-98.69999999999999,45.0,-11.7,-14.5,-0.30000000000000004,1.3,-28.2,21.8,-23.2,10.7,5,0
24.5,13.0,-13.5,-57.5,6.0,0.0,1.0,1.0,23.2,11.5,4.2,4.7,5,1
13.0,24.5,-57.5,-13.5,0.0,6.0,1.0,1.0,11.5,23.2,4.7,4.2,5,0
161.0,142.5,-122.5,-96.5,12.5,9.5,-0.5,-0.5,4.7,5.5,-1.7,-2.9,5,1
142.5,161.0,-96.5,-122.5,9.5,12.5,-0.5,-0.5,5.5,4.7,-2.9,-1.7,5,0
11.5,-35.5,9.0,-129.0,2.0,-11.0,0.5,-1.0,15.8,-15.3,8.5,-11.0,5,1
