f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
127.3,279.0,283.3,164.0,22.0,20.7,0.7,1.3,44.4,-11.0,-12.1,96.3,257.7,281.3,202.7,26.3,38.7,2.7,1.0,33.3,-22.0,-5.9,0
200.7,122.3,191.3,209.7,22.3,26.7,1.7,1.3,30.0,5.0,4.0,161.7,160.3,210.7,306.7,22.7,37.0,1.3,2.3,100.0,-10.2,-5.1,1
151.0,125.5,237.0,193.0,26.0,24.0,2.0,1.5,50.0,3.9,-0.1,84.0,147.5,186.5,249.0,22.5,30.5,2.5,2.0,30.0,-0.7,4.7,0
136.7,170.7,360.3,310.3,42.7,40.7,1.7,2.0,30.0,8.4,0.8,220.7,258.3,186.0,308.7,25.3,45.3,0.7,1.0,66.7,-3.5,-2.0,0
126.5,90.0,220.5,283.5,32.5,16.5,1.0,1.5,50.0,-2.7,-11.4,235.0,57.0,187.0,84.0,30.0,3.0,0.0,2.0,40.0,11.3,-11.1,1
190.7,77.0,343.7,373.3,41.0,25.3,0.7,1.7,50.0,0.5,-4.0,196.0,165.0,175.7,251.0,26.0,20.7,0.7,3.7,10.0,-7.9,-8.6,0
112.5,168.5,100.5,230.0,4.5,30.5,3.0,3.0,50.0,-12.4,-7.0,119.0,119.7,238.0,149.0,26.3,16.3,2.0,2.0,70.0,4.2,0.4,0
167.0,203.3,209.3,235.7,24.0,21.0,1.3,2.7,70.0,11.6,5.2,124.7,232.7,184.7,182.7,21.0,29.0,1.3,1.3,80.0,12.3,8.8,1
396.0,180.3,83.0,274.7,51.7,43.3,0.7,1.3,80.0,-7.1,-8.6,92.3,346.0,182.3,190.7,18.3,40.0,2.0,1.3,55.6,-16.6,-9.2,1
28.0,118.0,329.0,147.0,14.0,13.0,4.0,2.0,90.0,11.4,20.8,39.0,201.0,325.0,211.0,13.0,37.0,2.0,1.0,80.0,-16.1,5.0,0
149.3,189.7,206.7,173.7,25.7,27.7,1.3,1.7,50.0,-8.6,-9.4,117.7,291.0,316.0,240.0,26.0,35.7,1.7,0.3,50.0,-5.1,-4.0,0
369.7,94.0,183.7,377.0,45.3,32.7,1.0,1.7,20.0,-2.1,-6.5,87.0,238.7,218.0,213.7,17.7,38.3,2.0,2.0,30.0,-14.7,-4.7,1
191.7,171.7,335.3,373.0,35.7,34.7,0.3,0.7,55.6,-4.0,-4.5,121.3,106.3,258.3,323.0,23.7,31.0,2.7,1.0,77.8,2.7,-4.4,0
137.0,246.7,269.3,173.7,36.0,31.3,0.7,0.3,66.7,6.8,2.0,118.0,114.0,239.0,334.5,25.5,31.0,0.5,1.5,22.2,-8.3,-7.1,1
52.5,164.5,447.0,224.5,42.0,31.0,0.5,2.0,18.2,6.2,-2.2,64.0,263.0,216.0,182.0,7.0,42.0,4.0,1.0,80.0,-10.8,-7.7,1
142.7,107.0,281.3,223.7,32.0,23.7,1.0,1.0,30.0,5.4,0.0,135.7,220.3,204.7,156.3,20.7,29.0,1.7,1.0,18.2,-0.4,1.3,1
111.0,176.7,268.0,224.0,26.0,22.7,2.0,2.7,33.3,7.0,7.0,188.3,281.3,238.7,170.7,24.3,31.7,2.3,1.0,44.4,7.6,7.6,1
190.0,96.0,98.0,183.0,34.0,10.0,0.0,1.0,80.0,8.6,-9.1,117.0,126.0,391.0,128.0,20.0,23.0,5.0,0.0,80.0,6.3,3.3,1
219.0,100.0,305.0,200.0,22.0,13.0,2.0,3.0,80.0,-0.5,-12.7,249.0,151.0,190.5,227.0,27.0,33.0,2.0,1.5,50.0,-4.5,-0.1,1
188.0,21.7,302.3,187.7,37.0,5.7,1.3,1.3,33.3,26.3,2.6,154.7,98.3,251.3,203.3,23.0,10.0,1.3,1.0,66.7,14.6,5.5,0
