f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
200.3,121.4,185.1,203.4,24.2,24.0,2.1,2.0,30.0,5.0,4.0,171.4,161.3,207.9,263.5,20.5,33.6,1.9,1.5,100.0,-10.2,-5.1,0
151.0,125.5,237.0,193.0,26.0,24.0,2.0,1.5,50.0,3.9,-0.1,84.0,147.5,186.5,249.0,22.5,30.5,2.5,2.0,30.0,-0.7,4.7,1
195.4,183.9,295.9,268.7,41.0,31.3,1.1,2.1,30.0,8.4,0.8,222.9,236.6,218.9,277.3,30.9,39.1,1.4,1.3,66.7,-3.5,-2.0,1
126.5,90.0,220.5,283.5,32.5,16.5,1.0,1.5,50.0,-2.7,-11.4,235.0,57.0,187.0,84.0,30.0,3.0,0.0,2.0,40.0,11.3,-11.1,1
195.8,165.3,267.8,265.2,33.6,30.5,1.3,1.8,50.0,0.5,-4.0,192.8,169.1,223.9,263.7,29.8,26.4,1.3,2.8,10.0,-7.9,-8.6,0
112.5,168.5,100.5,230.0,4.5,30.5,3.0,3.0,50.0,-12.4,-7.0,119.0,119.7,238.0,149.0,26.3,16.3,2.0,2.0,70.0,4.2,0.4,1
185.5,158.8,306.7,286.4,35.6,26.1,1.1,1.8,70.0,11.6,5.2,170.8,145.0,172.0,249.2,28.7,24.9,1.1,1.9,80.0,12.3,8.8,1
358.9,182.5,94.6,263.5,38.9,37.6,1.3,1.2,80.0,-7.1,-8.6,90.3,235.7,191.0,212.8,18.6,31.9,2.6,1.9,55.6,-16.6,-9.2,1
28.0,118.0,329.0,147.0,14.0,13.0,4.0,2.0,90.0,11.4,20.8,39.0,201.0,325.0,211.0,13.0,37.0,2.0,1.0,80.0,-16.1,5.0,0
142.2,171.1,226.3,214.2,28.8,26.3,1.5,2.2,50.0,-8.6,-9.4,141.5,246.5,323.8,273.7,31.4,34.6,1.6,1.1,50.0,-5.1,-4.0,0
319.1,114.3,185.3,309.0,34.6,30.1,2.1,1.0,20.0,-2.1,-6.5,52.3,253.5,202.3,222.8,14.5,39.5,1.8,2.3,30.0,-14.7,-4.7,0
163.5,155.3,304.5,327.5,31.8,31.3,0.5,1.0,55.6,-4.0,-4.5,115.3,106.0,331.8,288.0,29.3,26.8,2.0,1.3,77.8,2.7,-4.4,0
137.0,246.7,269.3,173.7,36.0,31.3,0.7,0.3,66.7,6.8,2.0,118.0,114.0,239.0,334.5,25.5,31.0,0.5,1.5,22.2,-8.3,-7.1,1
52.5,164.5,447.0,224.5,42.0,31.0,0.5,2.0,18.2,6.2,-2.2,64.0,263.0,216.0,182.0,7.0,42.0,4.0,1.0,80.0,-10.8,-7.7,0
134.2,105.8,276.6,247.1,28.6,24.3,1.7,1.2,30.0,5.4,0.0,135.8,173.1,248.5,196.4,25.9,28.8,2.8,1.9,18.2,-0.4,1.3,0
152.2,212.3,281.7,231.3,31.9,32.1,1.6,1.3,33.3,7.0,7.0,151.8,247.8,281.6,263.1,31.3,39.8,1.6,1.4,44.4,7.6,7.6,0
190.0,96.0,98.0,183.0,34.0,10.0,0.0,1.0,80.0,8.6,-9.1,117.0,126.0,391.0,128.0,20.0,23.0,5.0,0.0,80.0,6.3,3.3,1
219.0,100.0,305.0,200.0,22.0,13.0,2.0,3.0,80.0,-0.5,-12.7,249.0,151.0,190.5,227.0,27.0,33.0,2.0,1.5,50.0,-4.5,-0.1,0
160.5,62.3,296.5,202.0,39.0,7.5,1.3,1.5,33.3,26.3,2.6,174.2,87.6,250.0,167.4,27.4,8.8,1.0,1.4,66.7,14.6,5.5,1
139.4,79.6,175.1,203.5,23.5,21.1,1.7,2.6,60.0,-3.1,-5.1,92.5,138.6,235.3,183.4,21.5,23.1,1.6,1.8,36.4,-5.4,-5.0,1
221.5,125.0,219.8,179.8,35.5,21.8,0.8,1.0,60.0,3.9,-7.4,118.0,230.2,189.0,286.0,18.8,50.8,1.0,2.2,40.0,-18.2,0.2,1
204.8,111.3,334.8,216.5,53.8,12.8,1.0,2.0,88.9,36.1,7.4,151.5,321.0,194.0,231.0,19.0,43.0,0.5,1.0,40.0,-17.6,-15.4,0
